	BACE1	UBQLN1	MS4A6A	ABI3	ZCWPW1	MS4A4A	FRMD4A	IGF1R	MAPT	TP53INP1	SLC30A6	GSK3B	INSR	APH1B	MAN2A1	PSEN1	MTHFR	SLC30A4	ACE	TFCP2	SORCS1	ALPK2	SOAT1	NOS3	PPP1R37	GLIS3	SRRM4	CST3	SORL1	APOC2	SCIMP	ENTPD7	CELF1	ARID5B	PGBD1	HFE	CD2AP	CTNNA3	TFAM	BDNF	CYP19A1	PM20D1	IGF1	CHRNB2	EIF2AK3	EPHA1	CLNK	NEDD9	SLC24A4	CR1	GAPDH
CNOT6L	0.2928	0.3988	0.1907	-0.0546	0.0041	0.0971	0.1907	0.4946	0.303	0.228	0.3916	0.2898	0.3884	0.2497	0.3324	0.2877	0.3932	0.3357	0.1189	0.3008	0.3123	0.093	0.2452	-0.0999	0.0742	0.4417	0.3137	0.0856	0.3782	0.0698	0.1251	0.2036	0.1104	-0.046	-0.0012	0.2292	-0.1136	0.2605	0.2263	0.3064	-0.0771	0.2061	0.1637	0.0916	-0.1548	0.0334	-0.0632	0.1445	0.2734	0.2469	0.3169
DNM1L	0.2402	0.6682	-0.1603	-0.2487	0.1852	-0.1384	0.5687	0.2075	0.5236	-0.0152	0.059	0.7302	0.0884	0.3227	0.1218	0.1107	0.1692	0.3789	-0.0385	0.4015	0.5552	-0.033	0.0905	-0.0753	0.2471	-0.0298	0.4184	-0.0689	0.1989	-0.1303	-0.1121	0.0885	-0.0256	-0.1288	0.3808	-0.0743	-0.1839	-0.0546	0.0279	0.1432	-0.1687	-0.1664	-0.2319	0.2631	-0.0658	-0.1449	-0.3052	-0.0864	0.1762	-0.122	0.2576
TFDP2	0.1313	0.2377	0.2648	0.0326	0.2119	0.216	0.0382	0.3503	0.2592	0.3512	0.2903	0.1613	0.3752	0.4374	0.3423	0.3868	0.366	0.4826	0.3529	0.3351	0.2238	0.1803	0.4498	0.0736	0.0712	0.3686	-0.1044	0.0441	0.2146	0.1389	0.0936	0.2089	0.0621	0.0948	0.0921	0.1623	0.0073	0.2076	0.1009	0.13	0.0829	0.185	0.1499	0.0425	0.0082	0.0868	0.0495	0.1015	0.3391	0.1654	0.0302
KLHL24	0.312	0.3917	0.0077	-0.2453	0.1651	-0.063	0.1995	0.5876	0.1359	0.2994	0.3485	0.1749	0.5011	0.441	0.572	0.3114	0.3085	0.4812	0.0511	0.4117	0.2297	0.0177	0.3611	-0.1684	-0.0586	0.281	0.0234	0.0605	0.2957	-0.0903	-0.0038	0.1132	-0.0213	-0.0875	0.0904	0.1212	-0.144	0.4606	0.1345	0.0249	-0.1098	0.1488	0.0256	-0.1304	-0.1107	-0.0731	-0.1527	0.0038	0.2613	0.2016	0.0846
H6PD	0.1363	-0.1709	0.292	0.308	0.1508	0.2314	-0.1331	0.1736	-0.0546	0.2925	0.1614	-0.1579	0.141	0.1415	0.1636	0.2505	0.2204	0.184	0.2095	0.1603	-0.093	0.3434	0.1704	0.1684	0.0429	0.28	-0.2171	0.3385	0.1111	0.2312	0.383	0.1451	0.3768	0.3887	-0.0408	0.3161	0.1881	0.2385	0.2487	0.1811	0.3578	0.3724	0.3453	-0.0242	0.1822	0.3389	0.2905	0.3071	0.1136	0.2764	0.0971
ZBTB9	0.2958	0.1599	0.1702	0.1232	0.1545	0.2202	0.1622	0.3853	0.2151	0.2675	0.2898	0.2267	0.3652	0.3396	0.2804	0.3867	0.235	0.4011	0.3399	0.423	0.294	0.1453	0.3935	0.0773	0.0234	0.2597	-0.0967	0.1814	0.091	0.2086	0.1624	0.1545	0.1449	0.1341	0.0747	0.1971	0.0489	0.2283	0.2206	0.1461	0.0319	0.2574	0.118	0.0589	-0.0124	0.0442	0.138	0.1835	0.2088	0.2363	0.1629
STK36	0.0838	0.2284	0.0884	0.0137	0.1776	-0.0036	0.3412	0.4141	0.4154	0.1304	0.0369	0.302	0.4122	0.3598	0.18	0.1845	0.3	0.3857	0.189	0.2562	0.3743	0.0133	0.3086	-0.0031	0.1762	0.207	0.0708	-0.0121	0.1224	-0.0399	-0.0913	0.0469	-0.088	-0.021	0.212	-0.103	0.0721	-0.0391	0.0029	-0.0397	-0.1017	-0.0127	-0.0549	0.0587	-0.0855	-0.1366	-0.0587	-0.005	0.3152	-0.0558	0.0866
SYT7	0.0176	0.1762	-0.1493	0.0447	0.041	-0.039	0.3711	0.0283	0.4314	-0.2871	-0.2615	0.419	0.0063	-0.0557	-0.2497	-0.0924	0.2273	0.0724	0.0525	0.0305	0.3963	0.0602	-0.0598	0.1571	0.4063	-0.1224	0.3302	-0.0531	0.0661	-0.0418	-0.0765	-0.0014	-0.0118	0.0834	0.3065	-0.1931	0.1557	-0.2636	0.0007	-0.0019	-0.0184	-0.2061	-0.1584	0.3034	-0.0093	-0.0724	0.0121	-0.0848	0.0076	-0.2789	0.1749
ZFAND2B	0.3592	0.529	-0.0762	-0.0212	0.3995	0.0032	0.3831	0.1657	0.5242	0.1261	0.0711	0.4959	0.2039	0.428	0.3088	0.3232	0.229	0.4199	0.1488	0.3248	0.2793	0.0729	0.2004	0.1748	0.367	-0.0021	0.1154	-0.0501	0.2108	0.0423	-0.0364	0.0753	-0.0104	-0.0011	0.3993	0.0395	-0.0167	0.0502	-0.0199	0.1157	-0.0348	-0.0948	-0.1749	0.3351	0.021	-0.128	-0.1563	-0.0237	0.1365	-0.0505	0.2466
SBF2	0.2967	0.2827	0.4431	0.0302	0.2735	0.3038	0.0055	0.5138	0.1507	0.5181	0.3787	0.0812	0.461	0.6145	0.5774	0.5698	0.3788	0.5769	0.4387	0.4967	0.2069	0.2256	0.5165	0.1754	-0.0318	0.5283	-0.2433	0.2367	0.244	0.2238	0.1487	0.1648	0.1712	0.1932	0.0924	0.2576	-0.0174	0.4472	0.2073	0.1186	0.1848	0.3079	0.1298	0.0189	0.1098	0.1017	0.0156	0.1726	0.3019	0.2132	0.1907
EYA3	0.1156	0.265	0.0972	0.0122	0.1077	-0.0662	0.3688	0.3811	0.2858	0.1259	0.1769	0.2514	0.3702	0.4225	0.2605	0.1844	0.2322	0.394	0.1061	0.3254	0.3141	-0.0428	0.3374	-0.1378	0.0258	0.2245	-0.0029	-0.0139	0.0684	-0.07	-0.072	0.1172	-0.1433	-0.1293	0.1236	-0.0791	-0.0493	0.1451	-0.091	0.0956	-0.1846	0.0482	0.0116	-0.0246	-0.1772	-0.1277	-0.1079	-0.0699	0.2689	0.0639	-0.0535
ZDHHC3	0.2827	0.1329	0.4751	0.3039	0.3304	0.3703	-0.1405	0.3341	0.1669	0.5999	0.354	-0.1107	0.4474	0.47	0.5098	0.5436	0.1837	0.4274	0.4074	0.3126	-0.1062	0.3724	0.5094	0.2357	0.0832	0.4366	-0.3936	0.3599	0.2078	0.3679	0.3588	0.218	0.3854	0.3346	0.0114	0.4602	0.2087	0.4123	0.2645	0.2118	0.346	0.445	0.3887	0.0651	0.2207	0.2928	0.2624	0.3191	0.2021	0.4486	0.0854
USP42	0.2748	0.3359	0.239	0.1156	0.359	0.2349	0.2003	0.4702	0.2818	0.4088	0.3565	0.1959	0.4779	0.4524	0.425	0.4667	0.4386	0.5479	0.32	0.4915	0.2906	0.2298	0.4799	0.1727	0.1046	0.3966	-0.0354	0.2483	0.3473	0.2087	0.2663	0.2725	0.269	0.2552	0.2206	0.2709	0.0437	0.3801	0.2331	0.2701	0.2298	0.2786	0.2133	0.1436	0.1263	0.1862	0.053	0.1915	0.3445	0.2077	0.1347
TBC1D25	0.089	0.0115	0.0473	0.2129	0.1208	0.1038	0.1032	-0.053	0.2139	0.0365	-0.0656	0.1649	0.0074	0.1325	-0.0433	0.1882	0.0748	0.1503	0.185	0.1419	0.1505	0.2605	0.1249	0.1456	0.2283	0.0233	-0.1009	-0.0079	-0.1262	0.1811	0.2583	0.039	0.1467	0.2215	0.2412	0.0167	0.3071	-0.0433	0.1262	0.1219	0.1472	0.0651	0.1392	0.1874	0.0805	0.1635	0.2441	0.1421	0.0485	-0.0054	-0.0154
GLTP	0.466	0.1173	0.2071	0.0207	0.3003	0.0558	-0.1177	0.2893	0.0804	0.4396	0.212	-0.144	0.5539	0.5759	0.7994	0.6491	0.1782	0.494	0.2881	0.3801	-0.1108	0.1323	0.4622	0.0402	-0.1921	0.2581	-0.5066	0.0665	0.1126	0.0671	0.0814	0.0357	0.0006	0.0823	0.0361	0.1727	0.1025	0.6671	0.0744	-0.0712	0.0581	0.2072	0.0751	-0.1899	0.0263	0.0205	0.0864	0.0628	0.1539	0.2635	-0.05
SOCS4	0.2467	0.4343	0.132	-0.2117	0.2266	-0.0159	0.2709	0.5523	0.2091	0.309	0.2809	0.261	0.5441	0.5673	0.5825	0.4048	0.323	0.5572	0.1731	0.4792	0.2836	0.0505	0.5057	-0.1396	-0.1334	0.3262	-0.1226	0.0512	0.1657	-0.0712	-0.0583	0.1255	-0.0976	-0.118	0.145	0.0737	-0.166	0.4032	0.0543	0.078	-0.1792	0.1277	-0.0171	-0.0496	-0.0759	-0.1314	-0.1345	-0.0205	0.2685	0.1635	0.1012
WDR36	0.3395	0.4337	0.3099	0.1213	0.2566	0.302	0.1287	0.4165	0.3724	0.4336	0.4076	0.2637	0.4347	0.4105	0.4723	0.4962	0.3857	0.4955	0.3122	0.4335	0.1757	0.3272	0.4203	0.2224	0.1876	0.4084	0.0328	0.2691	0.3868	0.2366	0.3122	0.2698	0.3719	0.2375	0.2219	0.4429	0.1	0.3172	0.3903	0.2941	0.2863	0.3524	0.2858	0.2264	0.1585	0.2819	0.1123	0.2578	0.315	0.3019	0.3395
TUBE1	0.3359	0.4517	0.1398	-0.1657	0.2925	0.0074	0.2621	0.5413	0.2622	0.3534	0.3313	0.2327	0.4951	0.6175	0.6197	0.4497	0.2697	0.5811	0.1974	0.5666	0.3204	0.1408	0.4854	-0.0724	-0.0539	0.2912	-0.1103	0.0954	0.1556	0.0221	0.0411	0.1859	0.04	-0.0388	0.2252	0.1735	-0.1982	0.4314	0.1696	0.1326	-0.0776	0.2066	0.0596	-0.0011	-0.0336	-0.0193	-0.0678	0.0221	0.2587	0.2407	0.0605
WISP3	-0.1147	-0.1331	0.3203	0.3667	0.1924	0.49	-0.267	0.0466	-0.1189	0.3766	0.211	-0.2038	-0.007	-0.0685	-0.0599	0.1426	0.0457	0.0829	0.3022	0.0837	-0.1713	0.425	0.2317	0.3834	0.1368	0.2064	-0.1714	0.419	0.0859	0.4488	0.6281	0.2497	0.629	0.526	0.0545	0.4666	0.2314	0.0608	0.3511	0.225	0.6342	0.4695	0.5158	0.2049	0.4124	0.5584	0.4178	0.3621	0.1396	0.266	-0.081
FMNL2	0.554	0.2131	0.2086	0.0518	0.0781	0.1778	-0.0994	0.3433	0.2741	0.2036	0.1775	0.0424	0.3956	0.2043	0.5013	0.442	0.4788	0.292	0.2394	0.17	-0.0035	0.1964	0.126	0.1016	0.1552	0.3165	0.1022	0.2266	0.5838	0.0587	0.1313	-0.0283	0.2179	0.1575	-0.0732	0.2654	0.0511	0.5811	0.2681	-0.0107	0.1803	0.135	0.1151	-0.0188	0.0746	0.1312	0.0172	0.2321	0.1504	0.1205	0.4961
CDS1	0.1489	0.6207	-0.1267	-0.2376	0.1117	-0.0951	0.5451	0.3059	0.3955	-0.0914	0.1365	0.7218	0.1551	0.2881	0.029	0.0642	0.146	0.4153	0.024	0.362	0.6104	-0.1119	0.2715	-0.0788	0.1653	-0.0056	0.2833	-0.0926	0.0577	-0.0274	-0.1055	0.1494	-0.1102	-0.1457	0.292	-0.1049	-0.1642	-0.1422	0.0707	0.1546	-0.225	-0.1426	-0.2164	0.2651	-0.0824	-0.1741	-0.2011	-0.1493	0.2074	-0.1268	0.1864
TMOD2	0.0488	0.6395	-0.3469	-0.3631	0.1217	-0.2936	0.6769	0.2184	0.4395	-0.1899	-0.0265	0.7509	-0.0196	0.1938	-0.0669	-0.1167	0.0537	0.2566	-0.187	0.2427	0.5641	-0.1764	0.0073	-0.1826	0.2689	-0.1722	0.462	-0.1665	0.0434	-0.2553	-0.2708	0.0308	-0.218	-0.287	0.3284	-0.2513	-0.2368	-0.2272	-0.0747	0.0469	-0.3426	-0.3337	-0.3718	0.2057	-0.1634	-0.3058	-0.3554	-0.2401	0.0479	-0.2577	0.1222
ITGB8	0.2123	0.2301	0.464	0.0403	0.2469	0.2752	-0.129	0.4693	0.0392	0.5868	0.4243	-0.1197	0.5173	0.6011	0.6938	0.5576	0.3492	0.4992	0.3576	0.4116	-0.0172	0.2487	0.5415	0.0803	-0.1111	0.569	-0.3458	0.2331	0.2427	0.2118	0.2297	0.2218	0.2006	0.1553	-0.0179	0.3564	0.0478	0.5347	0.1728	0.1325	0.1893	0.4306	0.2786	-0.045	0.1731	0.1835	0.0249	0.2527	0.3454	0.3521	0.0849
MAP3K13	0.3257	0.5394	0.0947	-0.167	0.1204	-0.0223	0.4164	0.4463	0.3571	0.1547	0.2343	0.4636	0.42	0.4337	0.3923	0.3343	0.3109	0.4387	0.1098	0.4632	0.4477	-0.0358	0.2552	-0.0656	-0.0343	0.2832	0.1777	0.034	0.1978	-0.0457	-0.1383	0.0881	-0.117	-0.129	0.2254	-0.0171	-0.2156	0.2041	0.0936	0.0575	-0.19	-0.0077	-0.1789	0.0995	-0.1071	-0.1883	-0.2486	-0.0371	0.2533	0.0115	0.3617
AR	0.0299	0.0268	0.0989	0.1271	0.2303	0.3073	-0.0202	0.3727	-0.0505	0.4013	0.3315	-0.0632	0.3333	0.1522	0.1764	0.1346	0.1279	0.2806	0.1188	0.2783	0.0498	0.1734	0.4652	0.0969	-0.1401	0.3052	-0.1639	0.2755	0.2277	0.2234	0.2479	0.281	0.2877	0.19	-0.0515	0.3039	0.0246	0.2621	0.1636	0.0957	0.177	0.2987	0.2808	0.0269	0.1251	0.2479	0.1635	0.1265	0.2923	0.3169	-0.1977
CHAMP1	0.4175	0.6048	0.044	-0.2143	0.2233	-0.0843	0.4158	0.3891	0.4445	0.2213	0.2689	0.5224	0.4133	0.6318	0.5378	0.5096	0.3478	0.6107	0.2031	0.5489	0.4316	-0.0501	0.3725	-0.1054	0.0271	0.237	0.0519	-0.0327	0.1372	-0.0438	-0.0772	0.1179	-0.1378	-0.1588	0.3021	-0.026	-0.1701	0.2888	0.1472	0.1698	-0.2089	-0.0018	-0.1205	0.1143	-0.1302	-0.1892	-0.2251	-0.0336	0.2938	0.0202	0.2266
IFT43	0.317	0.4569	0.165	-0.0476	0.3275	0.0774	0.2421	0.293	0.4187	0.2567	0.1845	0.4035	0.3584	0.6503	0.386	0.4693	0.3245	0.5923	0.3615	0.4815	0.4002	0.0943	0.414	0.1945	0.1854	0.304	-0.1019	-0.0358	0.1276	0.121	-0.0141	0.1004	-0.0082	0.0574	0.3178	0.0404	0.0499	0.1452	0.1081	0.0904	0.0098	0.0222	-0.0746	0.228	0.0324	-0.0971	-0.0417	0.0256	0.2452	-0.0397	0.245
TOM1L2	0.2961	0.1607	-0.2199	0.0127	0.1601	-0.1158	0.425	0.1459	0.4625	-0.1884	-0.1773	0.3414	0.1347	0.097	0.0303	0.1014	0.1117	0.0741	0.0632	0.1638	0.2395	-0.0414	-0.022	0.0357	0.2408	-0.1545	0.1714	-0.0332	0.0276	0.0242	-0.0941	-0.0994	-0.147	-0.097	0.1534	-0.1775	0.0797	-0.0235	0.1469	-0.1261	-0.1988	-0.2323	-0.2303	0.2342	-0.1976	-0.2333	0.0477	-0.0074	-0.0386	-0.1375	0.1123
UPRT	0.3988	0.5967	0.0145	-0.1593	0.1644	-0.0718	0.3977	0.4219	0.4824	0.1318	0.212	0.5858	0.3587	0.4915	0.3897	0.3857	0.3124	0.5189	0.2122	0.4112	0.4266	0.0662	0.3041	-0.078	0.1376	0.1629	0.2206	0.0118	0.2328	-0.0382	-0.0329	0.0795	-0.0528	-0.1365	0.1987	0.0705	-0.1367	0.1618	0.2433	0.1767	-0.1894	-0.0422	-0.0568	0.2005	-0.1206	-0.1044	-0.146	0.0113	0.2488	0.0313	0.3583
VARS2	-0.0394	-0.1208	-0.0743	0.0823	0.2412	-0.1862	0.2944	0.1544	0.0689	0.045	-0.1341	-0.0323	0.1637	0.2803	0.0522	-0.0054	0.0294	0.1842	0.0577	0.1711	0.0857	-0.0691	0.2299	-0.0131	-0.0222	-0.0786	-0.3191	0.0103	-0.1919	-0.0515	-0.1348	-0.0277	-0.2267	-0.0757	0.1027	-0.2119	0.1124	-0.0042	-0.1522	-0.1338	-0.1484	-0.103	-0.1394	-0.1203	-0.1176	-0.1916	0.0966	-0.0935	0.0106	-0.0183	-0.3507
DOT1L	0.0685	-0.0594	0.1811	0.2311	0.259	0.2605	-0.0774	0.2095	0.0174	0.3148	0.2014	-0.1111	0.2802	0.2006	0.191	0.2609	0.1732	0.331	0.3784	0.3172	0.1784	0.2098	0.4315	0.2649	0.0227	0.2498	-0.2998	0.0919	0.0291	0.2967	0.2565	0.2747	0.2311	0.3384	0.1598	0.1915	0.178	0.2464	0.0936	0.2675	0.2987	0.2494	0.2185	0.0441	0.1462	0.1111	0.268	0.0742	0.151	0.2543	-0.1605
ZNF398	0.4423	0.6485	-0.0775	-0.1696	0.1523	-0.1244	0.4576	0.357	0.5956	0.0488	0.1654	0.6244	0.3835	0.3645	0.3468	0.3535	0.3952	0.4735	0.0839	0.3648	0.4619	-0.0499	0.1953	-0.0468	0.2185	0.0984	0.3526	-0.0334	0.3831	-0.144	-0.1383	0.0638	-0.1084	-0.0811	0.3354	-0.0201	-0.1845	0.115	0.1424	0.1076	-0.2043	-0.1827	-0.1959	0.1935	-0.14	-0.1619	-0.257	-0.0416	0.2438	-0.0857	0.4729
MYO9A	0.1202	0.5227	-0.0906	-0.2841	0.1682	-0.2587	0.5472	0.3743	0.3722	-0.0151	0.0703	0.5414	0.2362	0.4742	0.1977	0.1345	0.2122	0.4714	0.0138	0.4277	0.6211	-0.1357	0.3212	-0.1423	0.1031	0.0857	0.1322	-0.2323	-0.033	-0.1563	-0.2271	0.0247	-0.3085	-0.2414	0.3359	-0.2381	-0.1591	-0.0125	-0.0754	0.0403	-0.3406	-0.201	-0.3295	0.077	-0.2161	-0.2992	-0.2763	-0.1847	0.1479	-0.136	0.0536
MAFK	0.2006	0.0208	0.0694	0.0501	0.0501	-0.0903	0.0886	0.2379	0.2335	0.0611	-0.0706	-0.0349	0.3293	0.131	0.2552	0.0945	0.2941	0.0902	-0.0337	0.0695	0.0551	0.0124	0.0645	-0.0976	0.0749	0.2101	0.0201	-0.0517	0.276	-0.1098	-0.17	-0.0664	-0.1202	-0.0436	-0.0228	-0.0455	0.0249	0.2545	-0.1091	0.0066	-0.1314	-0.0457	-0.0453	-0.2155	-0.1118	-0.091	-0.0565	0.0313	0.0824	0.1207	0.0494
RILPL1	0.4363	0.3445	0.0958	-0.0032	0.3025	-0.0596	0.1392	0.2403	0.3013	0.28	0.1672	0.1153	0.4568	0.5651	0.6003	0.5217	0.2622	0.511	0.1964	0.3647	0.11	0.0698	0.3818	-0.0067	0.0041	0.2506	-0.2529	-0.0862	0.1348	-0.0763	-0.06	0.017	-0.1062	0.0087	0.2125	-0.0164	0.0483	0.4857	-0.0692	0.0561	-0.069	0.0038	-0.0288	-0.101	-0.0507	-0.1256	-0.0534	-0.0212	0.1862	0.0831	0.0078
NDUFV3	0.218	0.3876	0.0454	-0.0221	0.229	0.0577	0.2628	0.1032	0.3358	0.0994	0.0124	0.4072	0.2092	0.4121	0.1569	0.2768	0.0914	0.3797	0.2312	0.2745	0.3257	-0.0008	0.2049	0.1758	0.0868	-0.0046	-0.0193	-0.0317	-0.0085	0.0818	-0.0949	0.0527	-0.0682	0.0061	0.2522	-0.0931	0.0144	0.0458	0.0093	-0.0263	0.0023	-0.1421	-0.1818	0.2463	0.0447	-0.1657	-0.1082	-0.0759	0.1258	-0.138	0.1182
ERBB3	0.5171	0.1694	0.1432	0.0088	0.3535	0.0119	0.0015	0.2651	0.1281	0.445	0.2641	-0.0813	0.5318	0.6199	0.8219	0.6522	0.2	0.4858	0.2268	0.4359	-0.0424	0.1198	0.385	-0.006	-0.1659	0.2264	-0.4138	0.0437	0.0627	0.0475	0.021	0.0385	-0.0413	0.0226	0.0992	0.1133	0.0652	0.6612	0.0343	-0.0199	-0.0312	0.1703	0.0298	-0.1461	-0.0332	-0.0667	-0.0153	0.0455	0.172	0.2682	-0.0541
GDE1	0.4554	0.4728	0.0138	-0.1917	0.1625	-0.1583	0.3041	0.213	0.4345	0.1317	0.1259	0.3913	0.3341	0.5322	0.4844	0.4583	0.181	0.4276	0.0611	0.3104	0.3192	-0.0444	0.1918	-0.1886	0.0365	0.1236	0.0212	-0.2033	-0.0147	-0.1521	-0.1903	0.0159	-0.2278	-0.1601	0.2077	-0.1333	-0.0364	0.2463	-0.0682	-0.0175	-0.3241	-0.1336	-0.2004	-0.0077	-0.2848	-0.2381	-0.2222	-0.1476	0.1832	-0.0406	0.1055
KDM2B	0.1915	0.4647	-0.21	-0.2408	0.1579	-0.2546	0.6213	0.3132	0.3448	-0.0276	0.0771	0.5358	0.216	0.3516	0.1499	0.0904	0.1367	0.3728	-0.1103	0.3663	0.5146	-0.18	0.1929	-0.2248	0.0253	-0.0746	0.1947	-0.2252	-0.0568	-0.1967	-0.2269	0.0195	-0.3216	-0.2422	0.2531	-0.2482	-0.1854	-0.004	-0.0675	0.0412	-0.4098	-0.2155	-0.2601	0.0079	-0.2784	-0.3138	-0.2491	-0.1993	0.1889	-0.0836	-0.0691
SLC30A7	0.0901	0.2654	0.1912	-0.0421	0.154	0.0802	0.2357	0.3861	0.1123	0.3258	0.3053	0.1316	0.3398	0.4543	0.3143	0.2074	0.2474	0.4172	0.1303	0.4511	0.3445	0.0922	0.437	-0.0652	-0.0658	0.3428	-0.0782	0.0625	0.1771	0.0187	0.0303	0.219	0.0396	0.022	0.1775	0.1271	-0.0801	0.2389	0.0097	0.2053	-0.0053	0.1739	0.0939	-0.0786	-0.0141	0.034	-0.0608	0.0013	0.2827	0.292	-0.0537
IL7R	0.0179	-0.0659	0.3941	0.3539	0.131	0.4555	-0.2251	0.1582	-0.0766	0.4281	0.3415	-0.1693	0.2076	0.1191	0.1403	0.2516	0.1118	0.2298	0.3948	0.2187	-0.0365	0.3629	0.4068	0.3591	0.0781	0.2757	-0.2406	0.3208	0.1535	0.4486	0.5302	0.345	0.5105	0.4736	0.0535	0.4393	0.285	0.2063	0.3222	0.2805	0.4844	0.45	0.4745	0.1727	0.2862	0.4356	0.3229	0.2653	0.1966	0.3421	-0.0556
ARHGAP30	0.1361	-0.0094	0.5085	0.3864	0.1097	0.6137	-0.3659	0.1404	0.1043	0.3882	0.2547	-0.1633	0.2408	0.0792	0.2042	0.3699	0.2132	0.1453	0.468	0.0781	-0.1742	0.3751	0.2723	0.4617	0.1469	0.3944	-0.1258	0.2954	0.3077	0.5481	0.4259	0.2355	0.5301	0.4825	-0.0928	0.4645	0.2857	0.2163	0.3102	0.1941	0.5654	0.3746	0.4014	0.2717	0.2776	0.3742	0.2937	0.3565	0.1708	0.2752	0.2051
PAWR	0.0367	-0.0499	0.4614	0.241	0.1861	0.3816	-0.2565	0.3461	-0.1436	0.5663	0.4424	-0.2614	0.3891	0.3946	0.3741	0.3833	0.22	0.3651	0.3904	0.3457	-0.0753	0.2809	0.6339	0.1417	-0.142	0.5304	-0.4424	0.3005	0.1516	0.3543	0.398	0.3687	0.3655	0.3181	-0.0709	0.4211	0.1383	0.3949	0.266	0.2813	0.3462	0.5594	0.4636	-0.0298	0.2165	0.3827	0.2819	0.2921	0.3695	0.4673	-0.1752
MCC	-0.0113	0.2099	0.1429	-0.1296	0.1309	-0.0151	0.322	0.4563	0.0586	0.3083	0.2794	0.1313	0.3444	0.4412	0.294	0.1866	0.2342	0.3294	0.0668	0.3731	0.2662	-0.0482	0.362	-0.1664	-0.0573	0.3842	-0.0594	0.1022	0.079	-0.0388	-0.1136	0.0961	-0.134	-0.1672	0.0692	-0.0559	-0.094	0.1785	0.0309	-0.016	-0.1855	0.096	-0.0507	-0.1037	-0.081	-0.1226	-0.157	-0.0094	0.2857	0.0436	0.0003
AQP4	0.1353	0.2279	0.3379	0.0181	0.1952	0.1334	0.041	0.2851	0.09	0.4497	0.2964	0.0501	0.2172	0.4802	0.471	0.3954	0.1873	0.344	0.176	0.3644	0.0136	0.1481	0.2752	0.0277	-0.0289	0.5026	-0.1813	0.1884	0.1917	0.0837	0.1386	0.0853	0.1461	0.0731	-0.0106	0.2158	0.0204	0.2893	0.0973	0.1193	0.0901	0.2648	0.1391	0.0182	0.1493	0.0985	-0.0661	0.1617	0.2893	0.179	0.1704
GDF11	0.0834	-0.0549	0.2132	0.2692	0.2144	0.3325	-0.1378	0.2054	0.0671	0.3579	0.1315	-0.129	0.2907	0.1563	0.2239	0.308	0.2444	0.2339	0.3853	0.1197	-0.1841	0.2918	0.2963	0.2935	0.0626	0.2055	-0.2055	0.3965	0.2072	0.2193	0.2454	0.1595	0.3511	0.2722	0.0297	0.333	0.2164	0.2512	0.2387	0.0022	0.3531	0.309	0.2535	0.1486	0.2162	0.2886	0.2049	0.204	0.1859	0.133	0.0473
B3GALNT2	0.0743	0.328	-0.0001	-0.1688	0.2338	-0.1228	0.3033	0.306	0.1678	0.2415	0.1871	0.246	0.2214	0.412	0.2825	0.1931	0.1752	0.3022	-0.0004	0.3853	0.2528	-0.0167	0.2896	-0.1453	0.032	0.2028	-0.0291	-0.0347	0.0189	-0.1189	-0.0895	0.1292	-0.1329	-0.1192	0.1911	-0.0082	-0.2386	0.102	0.0003	0.135	-0.2191	0.0247	-0.0837	0.0194	-0.1115	-0.1212	-0.2041	-0.0533	0.3147	0.0471	-0.0275
COL8A1	-0.0307	-0.0618	0.3529	0.1283	0.0224	0.2468	-0.2993	0.0998	-0.1459	0.323	0.2399	-0.201	0.203	0.1691	0.2082	0.1857	0.0827	0.1546	0.2049	0.1271	-0.1536	0.187	0.2944	0.1822	-0.1058	0.3434	-0.3202	0.1284	0.129	0.1917	0.1881	0.1656	0.2105	0.1859	-0.0313	0.2684	0.1065	0.1326	0.0536	0.112	0.2407	0.308	0.2258	-0.0036	0.2245	0.1907	0.0997	0.1134	0.23	0.1953	-0.0151
MCEE	0.2648	0.4154	-0.0614	-0.185	0.1405	-0.1678	0.3067	-0.0135	0.266	0.0692	0.1115	0.3692	0.0805	0.356	0.2281	0.2449	0.084	0.2569	-0.0492	0.2381	0.2182	-0.068	0.0977	-0.1158	0.0477	0.0255	0.0165	-0.2232	-0.0092	-0.1243	-0.1395	0.0495	-0.1979	-0.1437	0.234	-0.1024	-0.0557	0.0561	-0.0502	0.1006	-0.2508	-0.1691	-0.1142	0.0134	-0.0914	-0.1545	-0.1488	-0.0907	0.0947	-0.0422	0.1017
TMEM150A	-0.1143	-0.3772	0.0506	0.2783	-0.0349	0.1033	-0.129	-0.1175	-0.1451	0.0216	-0.1242	-0.2798	-0.0537	-0.0815	-0.094	0.0308	-0.1678	-0.1711	0.0968	-0.1414	-0.1589	0.113	-0.0496	0.0574	0.0331	-0.0467	-0.2978	0.0512	-0.2748	0.1651	0.0562	-0.0658	0.0679	0.1427	-0.0705	-0.1045	0.3531	0.0014	-0.0734	-0.0928	0.0751	0.0843	0.1413	0.0476	0.0819	0.0148	0.2496	0.0858	-0.1584	0.0383	-0.1645
